9019	 Développement d'un site vitrine pour la visibilité de notre entreprise de restauration	24447	\N	1	 Developpeur web pour creation de site internet vitrine pour entreprise domaine restauration  (24447)\nVous êtes déjà en contact avec ce client, et son projet se trouve déjà dans la liste de vos projets.	8952	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24447	04/07/2019                      
9020	 Besoin d'un développeur web Shopify pour la refonte de ma boutique en ligne.	24591	\N	1	 Refonte site web e-commerce Shopify  (24591)	8952	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24591	23/07/2019                      
9021	 Développement de plugin sur Shopify.	24553	\N	1	 Developpeur web creation plugin Shopify site entreprise  (24553)	8952	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24553	17/07/2019                      
9022	 Besoin d'un développeur web avec une bonne connaissance des techniques de référencement pour faire la refonte de notre site internet	24468	\N	1	 Developpeur web referenceur expert pour refonte site internet et optimisation SEO  (24468)\nVous êtes déjà en contact avec ce client, et son projet se trouve déjà dans la liste de vos projets.	8952	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24468	08/07/2019                      
9023	 Développent d'un site web vitrine WordPress pour une agence de communication.	24708	\N	1	 Creation site web agence de communication (24708)	8952	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24708	08/08/2019                      
9024	 Recherche un prestataire pour une formation en maintenance (placer des photos, réduire la taille d'une page, ajouter d'autres options...) de site e-commerce PrestaShop et conseils webmarketing.	24702	\N	0	 Formation maintenance gestion site PrestaShop conseils webmarketing  (24702)	8952	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24702	07/08/2019                      
9025	 Développeur Shopify pour la creation du site de ma boutique en ligne	24416	\N	1	  Developpeur web Shopify expert creation site de vente ligne entreprise  (24416)	8952	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24416	01/07/2019                      
9026	 Recherche un développeur web pour la création d'une plateforme de recherche d'emploi.	24642	\N	1	 Creation site web plateforme recherche emploi  (24642)	8952	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24642	29/07/2019                      
9027	 Besoin d'un développeur web pour la migration de notre site vers Joomla v3	24467	\N	1	 Developpeur web expert CMS Joomla pour faire evoluer site internet entreprise  (24467)\nVous êtes déjà en contact avec ce client, et son projet se trouve déjà dans la liste de vos projets.	8952	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24467	08/07/2019                      
9028	 Cherche un développeur pour créer un site internet pour la location de voiture entre particuliers.	24778	\N	1	 Creation site web entreprise location voiture (24778)	8952	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24778	23/08/2019                      
9029	 Développeur web expert pour sécurisation espace hébergement OVH et creation site internet sous Drupal	24516	\N	1	 Developpeur web expert Drupal pour resoudre probleme phishing et creation site internet entreprise  (24516)	8952	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24516	15/07/2019                      
9030	 Besoin d'un développeur web pour créer une plateforme de rencontre	24432	\N	1	  Developpeur web pour creation plateforme echange entre professionnel entreprise (24432)	8952	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24432	03/07/2019                      
9031	 Recherche un développeur pour la création de launcheur Minecraft.	24800	\N	1	 Developpement launcheur Minecraft API site web  (24800)	8952	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24800	22/08/2019                      
9032	 Nous recherchons un développeur web freelance pour les missions suivantes: refonte de site internet, SEO, Google Adwords, la gestion et développement de notre visibilité sur les réseaux sociaux.	24555	\N	1	 Developpeur web freelance mise a niveau site internet entreprise  (24555)	8952	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24555	17/07/2019                      
9033	 Développement d'une application web progressive qui agira comme un réseau social	24429	\N	1	 Developpeur expert pour creation application web progressive entreprise  (24429)\nVous êtes déjà en contact avec ce client, et son projet se trouve déjà dans la liste de vos projets.	8952	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24429	03/07/2019                      
9034	 Creation de site e-commerce pour entreprise de vente de bougie et accessoires	24414	\N	1	 Developpeur pour web pour creation site e-commerce  (24414)\nVous êtes déjà en contact avec ce client, et son projet se trouve déjà dans la liste de vos projets.	8952	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24414	01/07/2019                      
9035	 Cherche urgemment un développeur web expert WordPress Drupal 8 CSS PHP pour créer un template sur mesure	24502	\N	1	 URGENT Developpeur web expert Drupal pour creation template site internet  (24502)	8952	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24502	11/07/2019                      
9036	 Besoin d'un développeur de base de données pour extraire des données d'un site	24486	\N	1	 Developpeur db expert pour extraction donnees site web a partir de base de donnees (24486)	8952	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24486	10/07/2019                      
9037	 Développement d'un websocket API pour servir de lien entre une plateforme web de dessin dans un environnement 3D et le logiciel de dessin AutoCAD.	24444	\N	0	 Developpeur web expert pour creation API passerelle WebSocket AutoCAD (24444)	8952	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24444	04/07/2019                      
9038	 Besoin d'un développeur web expert en Shopify pour finaliser mon site e-commerce	24438	\N	1	 Developpeur web Shopify creation site de vente en ligne pour entreprise  (24438)\nVous êtes déjà en contact avec ce client, et son projet se trouve déjà dans la liste de vos projets.	8952	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24438	04/07/2019                      
9039	 Recherche un référenceur/rédacteur web freelance pour réaliser des cocons sémantiques pour notre entreprise.	24765	\N	0	 Referenceur web optimisation SEO entreprise (24765)	8952	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24765	19/08/2019                      
9040	 Mise à niveau de portail internet sous Drupal	24509	\N	1	 Developpeur web expert Drupal pour mise a niveau site entreprise  (24509)	8952	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24509	12/07/2019                      
9041	 Nous recherchons un développeur web pour la refonte de 2 sites internet sous WordPress.	24619	\N	1	 Developpeur WordPress expert Refonte 2 sites web (24619)	8952	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24619	25/07/2019                      
9042	 Développement de module de personnalisation de produit sur site e-commerce	24441	\N	1	 Developpeur web pour creation module de personnalisation etiquette produit entreprise  (24441)\nVous êtes déjà en contact avec ce client, et son projet se trouve déjà dans la liste de vos projets.	8952	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24441	04/07/2019                      
9043	 Besoin d’un développeur web pour créer un site internet de vidéo streaming pour notre entreprise	24411	\N	1	 Developpeur web expert pour creation site web de video streaming avec salon de chatroom pour entreprise  (24411)	8952	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24411	01/07/2019                      
9044	 Besoin d'un développeur web pour la création du site internet de notre entreprise.	24631	\N	1	 Creation site web entreprise transport logistique  (24631)	8952	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24631	30/07/2019                      
9045	 Besoin de consultant développeur web expert PrestaShop pour une mission de conseil et accompagnement en création de site e-commerce.	24618	\N	0	 Consultant developpeur web accompagnement creation site PrestaShop (24618)	8952	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24618	25/07/2019                      
9046	 Nous recherchons un(e) développeur web expert WordPress pour la refonte de notre site internet.	24558	\N	1	 Refonte site web WordPress entreprise  (24558)	8952	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24558	18/07/2019                      
9047	 Besoin d'un freelance développeur Java pour créer une application web qui permet de publier automatiquement des annonces sur le site Leboncoin.	24728	\N	1	 Application web publication automatique Leboncoin  (24728)	8952	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24728	13/08/2019                      
9048	 Développement de site internet pour notre entreprise	24458	\N	1	 Developpeur web expert pour creation site internet entreprise  (24458)\nVous êtes déjà en contact avec ce client, et son projet se trouve déjà dans la liste de vos projets.	8952	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24458	05/07/2019                      
9049	 Traducteur Français Portugais pour mission freelance en entreprise.	24674	\N	0	 Traducteur Francais Portugais pour agence francaise  (24674)	8952	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24674	01/08/2019                      
9050	 Développement de site de vente en ligne sous Shopify.	24520	\N	1	 Developpeur web Shopify pour creation site e-commerce entreprise  (24520)	8952	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24520	15/07/2019                      
9051	 Faire évoluer mon site de vente en ligne sous WooCommerce	24448	\N	1	 Developpeur web pour faire evoluer site WooCommerce entreprise  (24448)\nVous êtes déjà en contact avec ce client, et son projet se trouve déjà dans la liste de vos projets.	8952	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24448	04/07/2019                      
9052	 Nous recherchons un développeur expert pour la mise en place d'une plateforme de service de location entre particuliers	24482	\N	1	 Developpeur expert creation site web application Android iOS plateforme de location entre particuliers  (24482)	8952	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24482	10/07/2019                      
9053	 Projet de développement de site internet et la conception de logo pour notre la visibilité de notre entreprise spécialisé dans la location de voitures	24449	\N	1	 Creation site web et logo pour entreprise de location voitures de prestige (24449)\nVous êtes déjà en contact avec ce client, et son projet se trouve déjà dans la liste de vos projets.	8952	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24449	04/07/2019                      
9054	 Développement d'application web elearning dans le domaine de la dictée assistée.	24713	\N	1	 Application web educative dictee musicale assistee (24713)	8952	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24713	09/08/2019                      
9055	 Recherche un développeur web pour la refonte de notre site WordPress.	24689	\N	1	 Refonte site web WordPress entreprise boucherie (24689)	8952	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24689	05/08/2019                      
9056	 Développeur web expert pour la creation de site internet avec API logiciel de gestion	24495	\N	1	 Developpeur web creation site internet avec API interface pour logiciel gestion membres association (24495)	8952	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24495	11/07/2019                      
9057	 Nous recherchons un programmeur web expert pour le développement de notre application web.	24724	\N	1	 Developpement application web service restaurant  (24724)	8952	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24724	12/08/2019                      
9058	 Besoin de développeur expert pour la conception de site web et application mobile.	24657	\N	1	 Creation site web et application mobile entreprise (24657)	8952	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24657	31/07/2019                      
9059	 Recherche un développeur web node.js, Bootstrap ou équivalent.	24624	\N	1	 Developpement site web liveshow webcam (24624)	8952	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24624	26/07/2019                      
9060	 Besoin d'un développeur web pour la refonte (ajout de nouvelles fonctionnalités) de notre site Drupal.	24721	\N	1	 Expert Mise a niveau site web Drupal (24721)	8952	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24721	12/08/2019                      
9061	Une agence spécialisée en création de site web, cherche des commerciaux en Freelance pour la commercialisation des solutions web.\nNous cherchons des commerciaux pour prospecter nos services :\n• Création de site web\n• Référencement\nContactez nous par e-mail : contact@innov-seas-group.com	693191847	\N	0	INNOV-SEAS GROUP	8953	https://www.linkedin.com/posts/innov-seas-group-833194174_une-agence-sp%C3%A9cialis%C3%A9e-en-cr%C3%A9ation-de-site-activity-6571894553593331712-F2eK	1j                              
9062	?? C’est la reprise ! 30 #jobenor partout en France. Postule vite ?? https://lnkd.in/dMViu7E\n\n\n#PARIS\n??Consultant Digital 40k€\n• Chef Projet eCommerce Magento 65k€ \n• Product Owner 60k€\n• Chef Projet eCommerce 55k€\n• Chef Projet Mobile et Web 55k€\n• Business Developer Marketplaces 55k€\n• Chef Projet eCommerce 50k€\n• Product Owner 50k€\n• Consultant(e) Digital Analytics 45k€+\n• Chef Projet Digital 45k€\n• Key Account Manager 45k€\n• Social Media Manager 45k€\n• Resp Acquisition 43k€\n• Customer Success Manager eHealth 40k€\n• Growth Hacker 40k€\n• Chef Projet SEO 40k€\n• Chef Projet Agence 40k€\n\n#LYON\n• Business Developer 50k€\n• Resp eCommerce 45k€\n• Resp eCommerce 45k€\n• WebAnalyst Agence 40k€\n\n• eMerchandiser 30k€ #LILLE\n• Resp Mkg et Com 55k€ #AVIGNON\n• Traffic Manager eCommerce 35k€ #MONTPELLIER\n• Resp d'agence 55k€ #AIX\n• Customer Success Manager 60k #ROUEN	23334848	\N	0	Pierre Quatrefages ?	8953	\N	2j                              
9063	Bonjour,\n\nJe suis prestataire en informatique et je cherche un client.\nJ'ai 15 ans d’expérience en tant que développeur web, j'ai également fait un peu de formation.\nJ'ai travaillé dans différents secteurs d'activité dont des agences web, l'immobilier, la finance ou l'emploi.\nJe travaille avec PHP (Symfony 4) et Javascript/Typescript (Angular 8) afin de créer des applications ou des sites web performants, évolutifs, administrables et sécurisés.\nMon CV est disponible sur mon profil linkedin :\nhttps://lnkd.in/dHDjYPA\nVous pouvez me joindre au 07 68 98 76 55.\n\nSi vous pouviez partager ce post ca m'aiderai.\n\nMerci.	641171930	\N	0	Nicolas Blaudez	8953	\N	3h                              
9064	Dodow a vendu plus de 500 000 petits appareils, alors qu'ils ont créé un produit innovant que personne ne cherchait sur le web !\n?? Comment ils ont fait ?\nOn vous l'explique dans cette vidéo !\nVous en voulez un aussi ? Vous pouvez le commander ici \n?? https://amzn.to/2Mx4HlM\n\nDécouvrez comment écrire des articles bien référencés sur votre blog avec notre checklist \n?? https://lnkd.in/eXbEbS4	18967682	\N	0	Digi Atlas	8953	https://www.linkedin.com/posts/digi-atlas_dodow-a-vendu-plus-de-500-000-petits-appareils-activity-6572027206208417792-cTh-	1j                              
9065	Rablab | Agence Web spécialisée en SEO, SEM, SMM, une jeune agence de marketing numérique située dans Hochelaga, cherche un(e) gestionnaire Senior du marketing numérique (SEM/PPC/Adwords).	5279818	\N	0	Grenier aux emplois	8953	\N	2j                              
9066	Merci thomas recherche son/sa futur(e) Développeur(-euse) / intégrateur(-trice) Front-end! Tu es passionné(e) du web et des TI? Tu domines Wordpress et Woocommerce? - N'hésite pas à consulter leur offre ?? ?? ??	2692404	\N	0	Espresso Jobs	8953	\N	2j                              
9151	<![CDATA[We need a web page, where gamers can meet each other and play competitions (for money)<br />there are already existing pages.<br /><br /><br /><b>Posted On</b>: August 28, 2019 21:11 UTC<br /><b>Category</b>: Web, Mobile &amp; Software Dev &gt; Web Development<br /><b>Skills</b>:        Custom PHP,                     Java,                     JavaScript,                     PHP            <br /><b>Country</b>: Germany<br /><a href="https://www.upwork.com/jobs/Clone-existing-competitive-web-page-java-php_%7E01433419e7d89b3dcb?source=rss">click to apply</a>]]>	Wed, 28 Aug 2019 18:36:06 +0000	\N	0	<![CDATA[Clone a existing competitive web page in java / php - Upwork]]>	9101	https://www.upwork.com/jobs/Clone-existing-competitive-web-page-java-php_%7E01433419e7d89b3dcb?source=rss	Wed, 28 Aug 2019 18:36:06 +0000 
9651	IMPRIX une agence de web marketing cherche des stagiaires de commercial pour son développement. Intéressés, veuillez envoyer votre CV à l’adresse mail contact@imprix.fr au plus tard le 30 août 2019 à 23 h 59.\n# le stage es rémunéré	179394685	\N	0	elmalicksy Diatta	9601	https://www.linkedin.com/posts/elmalicksy-diatta-4510b450_imprix-une-agence-de-web-marketing-cherche-activity-6570756554235224064-H8Th	1sem.                           
9652	Bang Marketing à la recherche d'un conseiller(ère) en communications et marketing! On cherche une personne brillante, énergique et enthousiaste avec 3 à 5 ans d'expérience.	14693140	\N	0	Christine Poirier Laberge	9601	\N	1j                              
9152	<![CDATA[Hello freelancers, i am looking to build a website like singlemuslim.com but i want design color theme all font in css graphics and security like upwork.com If you register on singlemuslim as female it is free to use but when you register as male you need to pay to message the females. Problem on dating sites now is you get alot of fake profiles i want a security system once you register you need to verify your identity before proceeding further.<br /><br /><b>Budget</b>: $2,000<br /><b>Posted On</b>: August 28, 2019 21:11 UTC<br /><b>Category</b>: Web, Mobile &amp; Software Dev &gt; Web Development<br /><b>Skills</b>:        AJAX,                     AngularJS,                     API,                     API Integration,                     Bootstrap,                     C#,                     C++,                     Custom PHP,                     HTML,                     Java,                     JavaScript,                     jQuery,                     Larval,                     MySQL Administration,                     Node.js,                     PHP,                     React.js            <br /><b>Country</b>: United Kingdom<br /><a href="https://www.upwork.com/jobs/Building-dating-website-like-singlemuslim-com_%7E017bc569c198f4f28f?source=rss">click to apply</a>]]>	Wed, 28 Aug 2019 16:06:32 +0000	\N	0	<![CDATA[Building a dating website like singlemuslim.com - Upwork]]>	9101	https://www.upwork.com/jobs/Building-dating-website-like-singlemuslim-com_%7E017bc569c198f4f28f?source=rss	Wed, 28 Aug 2019 16:06:32 +0000 
9153	<![CDATA[Requirements:<br />1. Tailored to the taste of North America audience<br />2. navigation-friendly for laptop/mobile phone/ipad, html5<br />3. digitallly-oriented graphics and UI (at this stage, we are only recreating the front-end, therefore we do not expect understanding the underlying architecture to be necessary; however, if you disagree, feel free to bring it out)<br />4. brand color: gold, black<br />5. is confident to complete this project within 2-3 weeks. <br /><br /><br />Deliverable:<br />A folder containing 20-30 html5 webpages or other equivalent implementation strategy. We are not concerned with the solution package of final deliverable, it can be wordpress etc, so long as it can be incorporated with our existing server and is working fine.<br /><br />Our current address to be updated:<br />www.excoin.io/en<br /><br /><br />About The Company<br /><br />We are the world&#039;s first blockchain derivatives exchange to launch digital options trading. We offer a variety of innovative blockchain asset derivatives to our global customers through binary options. Our team has developed a complete trading ecosystem of securities, futures, international financial derivatives trading systems, settlement and clearing systems, risk control systems, market systems, quantitative trading systems, user CRM systems, and social systems. The development platform carries hundreds of billions of dollars in international financial derivatives. We master the core quantification algorithm with leading artificial intelligence and big data analysis. The trading system has reached the millisecond computational capacity and can realize hundreds of thousands of data processing per second, thus forming a high-barrier protection for the secondary market of various types of derivative services.<br /><br /><b>Budget</b>: $1,588<br /><b>Posted On</b>: August 28, 2019 21:11 UTC<br /><b>Category</b>: Web, Mobile &amp; Software Dev &gt; Web Development<br /><b>Skills</b>:        Adobe Photoshop,                     HTML,                     HTML5,                     Visualization,                     Website,                     WordPress,                     Wordpress Website            <br /><b>Country</b>: United States<br /><a href="https://www.upwork.com/jobs/Software-Engineer-needed-develop-html5-website_%7E01b8f8de9b7ff4b30a?source=rss">click to apply</a>]]>	Wed, 28 Aug 2019 15:28:16 +0000	\N	0	<![CDATA[Software Engineer needed to develop html5 website - Upwork]]>	9101	https://www.upwork.com/jobs/Software-Engineer-needed-develop-html5-website_%7E01b8f8de9b7ff4b30a?source=rss	Wed, 28 Aug 2019 15:28:16 +0000 
9351	?? Le vendeur, ou l’acheteur, ne cherche pas en premier lieu l’agence immobilière qui va venir estimer son bien. Aujourd'hui, vos clients potentiels s’informent et se renseignent d'eux-même sur Internet. L'inbound Marketing est une stratégie indispensable: https://lnkd.in/gtd-D5d	2725577	\N	0	FusionTen - Performance Driven Marketing Team	9301	\N	5h                              
9352	Agence de communication cherche (01) une assistante commerciale - Présentable, grande culture générale - Expérience dans le demain de communication / publicité - Connaissances en réseaux sociaux et communication web - Lieu de travail : Val d’Hydra, l’agence est à coté de maison Toyota, De préférence d’être d’enivrement Pour les intéressés , envoyez votre CV au : contact@fancommunication.dz FAN ADVERTISING ALGÉRIE	permalink.php?story_fbid=475886453227003&id=214811696001148	\N	0	Koajob Algérie 	9302	https://www.facebook.com/permalink.php?story_fbid=475886453227003&id=214811696001148	?? ?????                        
9501	 Recherche consultant Prestashop afin de finaliser la mise en forme des pages dédiées à nos producteurs et à leurs produits.	24860	\N	0	 Developpeur web assistance finalisation site web Prestashop (24860)	9451	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24860	29/08/2019                      
9502	<![CDATA[Solution Architect and building MVP for having SDK - API - UI - App - AppStore<br /><br />as reference - you can think of a Splunk App store<br /><br /><b>Budget</b>: $300<br /><b>Posted On</b>: August 31, 2019 09:06 UTC<br /><b>Category</b>: IT &amp; Networking &gt; Other - IT &amp; Networking<br /><b>Skills</b>:        Cloud Computing,                     CSS,                     Hadoop,                     HTML,                     Java,                     JavaScript,                     Python,                     Scala,                     XQuery            <br /><b>Country</b>: United States<br /><a href="https://www.upwork.com/jobs/Tech-Stack-MVP-for-building-web-analytics-app-store-cloud-for-data-analytics-product_%7E011e8b83c4530afae6?source=rss">click to apply</a>]]>	Fri, 30 Aug 2019 22:01:11 +0000	\N	0	<![CDATA[Tech Stack/MVP for building a web analytics app store on cloud for a data analytics product - Upwork]]>	9452	https://www.upwork.com/jobs/Tech-Stack-MVP-for-building-web-analytics-app-store-cloud-for-data-analytics-product_%7E011e8b83c4530afae6?source=rss	Fri, 30 Aug 2019 22:01:11 +0000 
9503	<![CDATA[This project is to review the entire big data analytics code of a tennis prediction website written in python. Currently, we are able to achieve 58% of prediction accuracy. We would like to improve the accuracy percentage to 85% - 90%. Code is written in python and the database uses Postgre SQL.<br />The only area required to review - Predictor Module.<br />The front end and back end of the website is written in Reactjs and Nodejs and does not need any review/amendments.<br /><br /><br /><b>Posted On</b>: August 31, 2019 09:06 UTC<br /><b>Category</b>: Data Science &amp; Analytics &gt; Quantitative Analysis<br /><b>Skills</b>:        Big Data,                     BigQuery,                     PostgreSQL Programming,                     Predictive Analytics,                     Python            <br /><b>Country</b>: India<br /><a href="https://www.upwork.com/jobs/Review-and-improvise-the-code-big-data-tennis-prediction-website_%7E01007132d7411688bc?source=rss">click to apply</a>]]>	Fri, 30 Aug 2019 09:48:14 +0000	\N	1	<![CDATA[Review and improvise the code of big data tennis prediction website - Upwork]]>	9452	https://www.upwork.com/jobs/Review-and-improvise-the-code-big-data-tennis-prediction-website_%7E01007132d7411688bc?source=rss	Fri, 30 Aug 2019 09:48:14 +0000 
9801	 Recherche un développeur web pour la création de mon site internet.	24866	\N	1	 Creation site web vitrine influenceur Twitter (24866)	9751	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24866	02/09/2019                      
